band_label,n,teacher_vs_train_mae,teacher_vs_oracle_mae_600,train_vs_oracle_mae_600,teacher_closer_to_oracle_rate_600,teacher_oracle_sign_match_rate,train_oracle_sign_match_rate,oracle_false_0.1_0.3,oracle_false_0.2_0.4,mean_band_instability_score
"[0.000,0.050]",48,0.12155563172806676,0.12414550516395513,0.02841104650729248,0.14583333333333334,0.5625,0.7083333333333334,0.06521739130434782,0.041666666666666664,0.5
"[0.050,0.200]",48,0.11328641433889668,0.11824015153938223,0.030824803276643036,0.08333333333333333,0.7708333333333334,1.0,0.0,0.046511627906976744,0.5
"[0.200,0.500]",48,0.20346906625976166,0.18502505192049612,0.058176352040541585,0.1875,0.8541666666666666,1.0,,0.0,0.375
"[0.500,0.700]",48,0.27800822754700977,0.2523476183103275,0.07174959157793519,0.22916666666666666,0.875,1.0,,,0.375
"[0.700,1.000]",48,0.2703252211213112,0.21864398686051115,0.13445804491456384,0.4375,0.9791666666666666,1.0,,,0.375
