subset,n,mse,mae,mean_proxy_vol_range,mean_proxy_static_gap,mean_proxy_best_move_changes,mean_proxy_sign_flips,false_decisive_0.3,false_decisive_0.4
stable,42,0.021918101033688093,0.09133794930364404,0.0,0.0,0.0,0.0,0.023809523809523808,0.023809523809523808
unstable,42,0.03531927540094876,0.12926589196459168,0.015873015873015872,0.018315018315018312,0.7142857142857143,0.47619047619047616,0.11904761904761904,0.047619047619047616
