abs_y_bin_id,abs_y_left,abs_y_right,err_bin_id,err_left,err_right,count,raw_instability_mean,band_prior_instability,smoothed_instability,weight
0,0.0,0.025,0,0.0,0.029037732630968094,4,0.41710526315789476,0.5368421052631579,0.46842105263157896,0.7892105263157895
0,0.0,0.025,1,0.029037732630968094,0.055772462859749794,5,0.5063157894736843,0.5368421052631579,0.5177631578947369,0.7670065789473683
0,0.0,0.025,2,0.055772462859749794,0.09747314453125,5,0.6452631578947369,0.5368421052631579,0.6046052631578948,0.7279276315789474
0,0.0,0.025,3,0.09747314453125,0.1748407930135727,5,0.5805263157894737,0.5368421052631579,0.5641447368421053,0.7461348684210526
0,0.0,0.025,4,0.1748407930135727,0.51904396875,4,0.5046052631578948,0.5368421052631579,0.518421052631579,0.7667105263157894
1,0.025,0.05,0,0.0,0.029037732630968094,0,,0.5684210526315789,0.5684210526315789,0.7442105263157894
1,0.025,0.05,1,0.029037732630968094,0.055772462859749794,1,0.5684210526315789,0.5684210526315789,0.5684210526315789,0.7442105263157894
1,0.025,0.05,2,0.055772462859749794,0.09747314453125,0,,0.5684210526315789,0.5684210526315789,0.7442105263157894
1,0.025,0.05,3,0.09747314453125,0.1748407930135727,0,,0.5684210526315789,0.5684210526315789,0.7442105263157894
1,0.025,0.05,4,0.1748407930135727,0.51904396875,0,,0.5684210526315789,0.5684210526315789,0.7442105263157894
2,0.05,0.1,0,0.0,0.029037732630968094,7,0.4165413533834586,0.4964912280701754,0.4405263157894737,0.8017631578947368
2,0.05,0.1,1,0.029037732630968094,0.055772462859749794,4,0.41052631578947363,0.4964912280701754,0.4473684210526315,0.7986842105263158
2,0.05,0.1,2,0.055772462859749794,0.09747314453125,4,0.5039473684210526,0.4964912280701754,0.5007518796992481,0.7746616541353384
2,0.05,0.1,3,0.09747314453125,0.1748407930135727,4,0.6131578947368421,0.4964912280701754,0.5631578947368421,0.746578947368421
2,0.05,0.1,4,0.1748407930135727,0.51904396875,5,0.5778947368421052,0.4964912280701754,0.5473684210526315,0.7536842105263158
3,0.1,0.15,0,0.0,0.029037732630968094,5,0.45736842105263154,0.43168859649122804,0.44773848684210527,0.7985176809210526
3,0.1,0.15,1,0.029037732630968094,0.055772462859749794,5,0.46157894736842103,0.43168859649122804,0.4503700657894737,0.7973334703947368
3,0.1,0.15,2,0.055772462859749794,0.09747314453125,4,0.38355263157894737,0.43168859649122804,0.40418233082706767,0.8181179511278196
3,0.1,0.15,3,0.09747314453125,0.1748407930135727,7,0.38383458646616536,0.43168859649122804,0.39819078947368414,0.8208141447368421
3,0.1,0.15,4,0.1748407930135727,0.51904396875,3,0.5149122807017543,0.43168859649122804,0.4733004385964912,0.787014802631579
4,0.15,0.2,0,0.0,0.029037732630968094,3,0.518421052631579,0.5336622807017544,0.5260416666666666,0.76328125
4,0.15,0.2,1,0.029037732630968094,0.055772462859749794,4,0.48815789473684207,0.5336622807017544,0.5076597744360901,0.7715531015037594
4,0.15,0.2,2,0.055772462859749794,0.09747314453125,6,0.49605263157894736,0.5336622807017544,0.5085891812865496,0.7711348684210526
4,0.15,0.2,3,0.09747314453125,0.1748407930135727,3,0.6850877192982456,0.5336622807017544,0.609375,0.72578125
4,0.15,0.2,4,0.1748407930135727,0.51904396875,8,0.5335526315789474,0.5336622807017544,0.5335825358851675,0.7598878588516746
