shard_id,samples,near_zero_samples,mean_weight,mean_weight_near_zero
0,50000,27505,0.8712222576141357,0.7659012079238892
1,50000,27611,0.8710163831710815,0.7664272785186768
2,50000,27412,0.8716787695884705,0.7659396529197693
3,50000,27458,0.8713610768318176,0.7657533884048462
4,50000,27664,0.8706828951835632,0.7662718296051025
5,50000,27566,0.8711134195327759,0.7662218809127808
6,50000,27403,0.8718355298042297,0.7661488652229309
7,50000,27439,0.8716092705726624,0.7660434246063232
8,50000,27649,0.870639443397522,0.7660664916038513
9,50000,27651,0.8706735968589783,0.7661451697349548
10,50000,27522,0.871208906173706,0.7660215497016907
11,50000,27525,0.8712779879570007,0.766172468662262
12,50000,27426,0.8716455698013306,0.7659986615180969
13,50000,27334,0.8721860647201538,0.7661997675895691
14,50000,27238,0.8726420402526855,0.7662127017974854
15,50000,27460,0.8713346123695374,0.7657221555709839
16,50000,27535,0.8712353110313416,0.7661800384521484
17,50000,27756,0.8703617453575134,0.7664680480957031
18,50000,27426,0.8718063831329346,0.7662918567657471
19,50000,27446,0.8715815544128418,0.7660524249076843
20,50000,27369,0.8720029592514038,0.766164243221283
21,50000,27533,0.8712707757949829,0.7662274241447449
22,50000,27357,0.8721933364868164,0.7664096355438232
23,50000,27190,0.8728700280189514,0.7662191390991211
24,50000,27586,0.8710290789604187,0.7662383317947388
25,50000,27504,0.8713562488555908,0.7661362290382385
26,50000,27645,0.8706339001655579,0.7660226225852966
27,50000,27590,0.8710425496101379,0.7662968635559082
28,50000,27495,0.87148517370224,0.7662941813468933
29,50000,27496,0.8711967468261719,0.7657783031463623
30,50000,27543,0.8710951805114746,0.7659934163093567
31,50000,27325,0.8721240758895874,0.7660093307495117
32,50000,27458,0.8715509176254272,0.7660989761352539
33,50000,27404,0.8718312382698059,0.7661495804786682
34,50000,27695,0.8705106377601624,0.7662224769592285
35,50000,27431,0.8717980980873108,0.7663193345069885
36,50000,27372,0.8718656301498413,0.7659388780593872
37,50000,27449,0.8715481758117676,0.7660174369812012
38,50000,27307,0.8723118901252747,0.7661989331245422
39,50000,27513,0.8712474703788757,0.7660151720046997
40,50000,27468,0.8714393973350525,0.7659809589385986
41,50000,27717,0.870333731174469,0.7660890817642212
42,50000,27503,0.8713962435722351,0.766200602054596
43,50000,27459,0.8715400099754333,0.7660876512527466
44,50000,27578,0.8709977865219116,0.7661139369010925
45,50000,27403,0.8717346787452698,0.765964686870575
46,50000,27452,0.8715636134147644,0.7660709619522095
47,50000,27547,0.8711791634559631,0.7661798596382141
48,50000,27612,0.8708561062812805,0.7661453485488892
49,50000,27471,0.8713895082473755,0.7659158110618591
50,50000,27466,0.8716328144073486,0.766316294670105
51,50000,27736,0.8702977895736694,0.766184389591217
52,50000,27452,0.8715721964836121,0.7660865783691406
53,50000,27544,0.8711380958557129,0.7660799622535706
54,50000,27684,0.8704184889793396,0.7659631967544556
55,50000,27629,0.8707748651504517,0.7661420106887817
56,50000,27667,0.8705451488494873,0.7660483717918396
57,50000,27343,0.8721274137496948,0.7661694288253784
58,50000,27527,0.8711380362510681,0.7659353017807007
59,50000,27444,0.8716932535171509,0.7662390470504761
60,50000,27384,0.8718904852867126,0.7660868763923645
61,50000,27519,0.8713034391403198,0.7661676406860352
62,50000,27482,0.8714334964752197,0.766089677810669
63,50000,27577,0.8710151314735413,0.7661367654800415
64,50000,27378,0.8718832731246948,0.7660226225852966
65,50000,27464,0.8716546893119812,0.7663390636444092
66,50000,27530,0.8710634112358093,0.7658252716064453
67,50000,27542,0.8710874915122986,0.7659710645675659
68,50000,27407,0.8718762397766113,0.7662571668624878
69,50000,27469,0.8715224266052246,0.766140878200531
70,50000,27614,0.8708920478820801,0.7662274837493896
71,50000,27382,0.8719437718391418,0.7661672234535217
72,50000,27529,0.8711399435997009,0.7659557461738586
73,50000,27627,0.8707457184791565,0.7660725116729736
74,50000,27670,0.8705654144287109,0.7661101818084717
75,50000,27552,0.8711075782775879,0.7660923600196838
76,50000,27543,0.8712682127952576,0.7663075923919678
77,50000,27461,0.8715375661849976,0.7661004066467285
78,50000,27497,0.8714155554771423,0.7661845088005066
79,50000,27383,0.8719690442085266,0.7662219405174255
