shard_id,band_idx,band_label,count
38,2,"[0.100,0.150]",3529
38,3,"[0.150,0.200]",2394
39,0,"[0.000,0.050]",15862
39,1,"[0.050,0.100]",5797
39,2,"[0.100,0.150]",3387
39,3,"[0.150,0.200]",2467
40,0,"[0.000,0.050]",15660
40,1,"[0.050,0.100]",5718
40,2,"[0.100,0.150]",3600
40,3,"[0.150,0.200]",2490
41,0,"[0.000,0.050]",15984
41,1,"[0.050,0.100]",5804
41,2,"[0.100,0.150]",3456
41,3,"[0.150,0.200]",2473
42,0,"[0.000,0.050]",15640
42,1,"[0.050,0.100]",5860
42,2,"[0.100,0.150]",3578
42,3,"[0.150,0.200]",2425
43,0,"[0.000,0.050]",15735
43,1,"[0.050,0.100]",5840
43,2,"[0.100,0.150]",3482
43,3,"[0.150,0.200]",2402
44,0,"[0.000,0.050]",15674
44,1,"[0.050,0.100]",5834
44,2,"[0.100,0.150]",3516
44,3,"[0.150,0.200]",2554
45,0,"[0.000,0.050]",15718
45,1,"[0.050,0.100]",5748
45,2,"[0.100,0.150]",3462
45,3,"[0.150,0.200]",2475
46,0,"[0.000,0.050]",15761
46,1,"[0.050,0.100]",5620
46,2,"[0.100,0.150]",3515
46,3,"[0.150,0.200]",2556
47,0,"[0.000,0.050]",15766
47,1,"[0.050,0.100]",5777
47,2,"[0.100,0.150]",3545
47,3,"[0.150,0.200]",2459
48,0,"[0.000,0.050]",15652
48,1,"[0.050,0.100]",5942
48,2,"[0.100,0.150]",3529
48,3,"[0.150,0.200]",2489
49,0,"[0.000,0.050]",15786
49,1,"[0.050,0.100]",5778
49,2,"[0.100,0.150]",3453
49,3,"[0.150,0.200]",2454
50,0,"[0.000,0.050]",15674
50,1,"[0.050,0.100]",5746
50,2,"[0.100,0.150]",3583
50,3,"[0.150,0.200]",2463
51,0,"[0.000,0.050]",15819
51,1,"[0.050,0.100]",5896
51,2,"[0.100,0.150]",3497
51,3,"[0.150,0.200]",2524
52,0,"[0.000,0.050]",15670
52,1,"[0.050,0.100]",5769
52,2,"[0.100,0.150]",3473
52,3,"[0.150,0.200]",2540
53,0,"[0.000,0.050]",15757
53,1,"[0.050,0.100]",5752
53,2,"[0.100,0.150]",3542
53,3,"[0.150,0.200]",2493
54,0,"[0.000,0.050]",15873
54,1,"[0.050,0.100]",5740
54,2,"[0.100,0.150]",3557
54,3,"[0.150,0.200]",2514
55,0,"[0.000,0.050]",15839
55,1,"[0.050,0.100]",5727
55,2,"[0.100,0.150]",3604
55,3,"[0.150,0.200]",2459
56,0,"[0.000,0.050]",15981
56,1,"[0.050,0.100]",5729
56,2,"[0.100,0.150]",3502
56,3,"[0.150,0.200]",2455
57,0,"[0.000,0.050]",15590
57,1,"[0.050,0.100]",5824
57,2,"[0.100,0.150]",3416
57,3,"[0.150,0.200]",2513
58,0,"[0.000,0.050]",15800
58,1,"[0.050,0.100]",5694
58,2,"[0.100,0.150]",3515
58,3,"[0.150,0.200]",2518
59,0,"[0.000,0.050]",15738
59,1,"[0.050,0.100]",5770
59,2,"[0.100,0.150]",3478
59,3,"[0.150,0.200]",2458
60,0,"[0.000,0.050]",15579
60,1,"[0.050,0.100]",5839
60,2,"[0.100,0.150]",3515
60,3,"[0.150,0.200]",2451
61,0,"[0.000,0.050]",15644
61,1,"[0.050,0.100]",5808
61,2,"[0.100,0.150]",3560
61,3,"[0.150,0.200]",2507
62,0,"[0.000,0.050]",15620
62,1,"[0.050,0.100]",5859
62,2,"[0.100,0.150]",3493
62,3,"[0.150,0.200]",2510
63,0,"[0.000,0.050]",15727
63,1,"[0.050,0.100]",5797
63,2,"[0.100,0.150]",3571
63,3,"[0.150,0.200]",2482
64,0,"[0.000,0.050]",15625
64,1,"[0.050,0.100]",5789
64,2,"[0.100,0.150]",3455
64,3,"[0.150,0.200]",2509
65,0,"[0.000,0.050]",15794
65,1,"[0.050,0.100]",5698
65,2,"[0.100,0.150]",3524
65,3,"[0.150,0.200]",2448
66,0,"[0.000,0.050]",15959
66,1,"[0.050,0.100]",5676
66,2,"[0.100,0.150]",3444
66,3,"[0.150,0.200]",2451
67,0,"[0.000,0.050]",15750
67,1,"[0.050,0.100]",5709
67,2,"[0.100,0.150]",3518
67,3,"[0.150,0.200]",2565
68,0,"[0.000,0.050]",15655
68,1,"[0.050,0.100]",5752
68,2,"[0.100,0.150]",3488
68,3,"[0.150,0.200]",2512
69,0,"[0.000,0.050]",15789
69,1,"[0.050,0.100]",5694
69,2,"[0.100,0.150]",3437
69,3,"[0.150,0.200]",2549
70,0,"[0.000,0.050]",15661
70,1,"[0.050,0.100]",5977
70,2,"[0.100,0.150]",3483
70,3,"[0.150,0.200]",2493
71,0,"[0.000,0.050]",15528
71,1,"[0.050,0.100]",5896
71,2,"[0.100,0.150]",3419
71,3,"[0.150,0.200]",2539
72,0,"[0.000,0.050]",15786
72,1,"[0.050,0.100]",5742
72,2,"[0.100,0.150]",3466
72,3,"[0.150,0.200]",2535
73,0,"[0.000,0.050]",15804
73,1,"[0.050,0.100]",5770
73,2,"[0.100,0.150]",3455
73,3,"[0.150,0.200]",2598
74,0,"[0.000,0.050]",15709
74,1,"[0.050,0.100]",5865
74,2,"[0.100,0.150]",3578
74,3,"[0.150,0.200]",2518
